text,label,token_ids
didnt feel humiliated,0,"[23770, 406, 2733, 2854, 54873]"
go feeling hopeless damned hopeful around someone care awake,0,"[3427, 8430, 75323, 68465, 38650, 2212, 4423, 2512, 35447]"
im grabbing minute post feel greedy wrong,3,"[318, 50030, 9568, 1772, 2733, 57080, 5076]"
ever feeling nostalgic fireplace know still property,2,"[2099, 8430, 83374, 40511, 1440, 2103, 3424]"
feeling grouchy,3,"[1897, 20659, 94868, 59064]"
ive feeling little burdened lately wasnt sure,0,"[535, 8430, 2697, 23104, 291, 31445, 574, 406, 2771]"
ive taking milligram time recommended amount ive fallen asleep lot faster also feel like funny,5,"[535, 4737, 2606, 50227, 892, 11349, 3392, 99677, 21536, 33173, 2763, 10819, 1101, 2733, 1093, 15526]"
feel confused life teenager jaded year old man,4,"[57676, 22568, 2324, 32639, 503, 14589, 1060, 2362, 893]"
petronas year feel petronas performed well made huge profit,1,"[7005, 2298, 300, 1060, 2733, 6896, 2298, 300, 10887, 1664, 1903, 6908, 11626]"
feel romantic,2,"[57676, 24364]"
feel like make suffering seeing mean something,0,"[57676, 1093, 1304, 16066, 9298, 3152, 2555]"
feel running divine experience expect type spiritual encounter,1,"[57676, 4401, 30467, 3217, 1755, 955, 18330, 13123]"
think easiest time year feel dissatisfied,3,"[27963, 30689, 892, 1060, 2733, 14091, 47365]"
feel low energy thirsty,0,"[57676, 3428, 4907, 98208]"
immense sympathy general point possible proto writer trying find time write corner life sign agent let alone publishing contract feel little precious,1,"[12828, 1137, 47084, 4689, 1486, 3284, 18940, 7061, 4560, 1505, 892, 3350, 9309, 2324, 1879, 8479, 1095, 7636, 23763, 5226, 2733, 2697, 27498]"
feel reassured anxiety side,1,"[57676, 32834, 3149, 18547, 3185]"
didnt really feel embarrassed,0,"[23770, 406, 2216, 2733, 49230]"
feel pretty pathetic time,0,"[57676, 5128, 67163, 892]"
started feeling sentimental doll child began collection vintage barbie doll sixty,0,"[47823, 8430, 93038, 7804, 1716, 6137, 4526, 24724, 3703, 22493, 7804, 53474]"
feel compromised skeptical value every unit work put,4,"[57676, 44500, 44929, 907, 1475, 5089, 990, 2231]"
feel irritated rejected without anyone anything saying anything,3,"[57676, 84971, 18010, 2085, 5606, 4205, 5605, 4205]"
feeling completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful,4,"[1897, 20659, 6724, 43206, 1403, 8446, 1520, 2733, 45445, 5019, 4851, 8486, 1376, 6661, 10087, 842, 1160, 4330, 3245, 26259]"
feeling amused delighted,1,"[1897, 20659, 86324, 35072]"
able help chai lifeline support encouragement great feeling glad able help,1,"[481, 1520, 45181, 10345, 4939, 1862, 51475, 2294, 8430, 16089, 3025, 1520]"
already feel like fucked though dont usually eat morning,3,"[46584, 2733, 1093, 28252, 3582, 15890, 6118, 8343, 6693]"
still love wish best longer tolerate effect bm life fact turned bitter angry person always particularly kind people around feeling stressed,0,"[44466, 3021, 6562, 1888, 5129, 50134, 2515, 35968, 2324, 2144, 6656, 26242, 19021, 1732, 2744, 8104, 3169, 1274, 2212, 8430, 32647]"
feel inhibited someone el kitchen like im painting someone el picture,0,"[57676, 99669, 4423, 658, 9979, 1093, 737, 19354, 4423, 658, 6945]"
become overwhelmed feel defeated,0,"[17106, 638, 43206, 2733, 24164]"
feel kinda appalled feel like need explain wide lenghth body measure etc pp,3,"[57676, 34490, 917, 4841, 2733, 1093, 1205, 10552, 7029, 48894, 71, 339, 2547, 6767, 5099, 12086]"
feel superior dead chicken grieving child,1,"[57676, 16757, 5710, 16553, 91844, 1716]"
get giddy feeling elegant perfectly fitted pencil skirt,1,"[456, 342, 76670, 8430, 26861, 14268, 29441, 47218, 38380]"
remember feeling acutely distressed day,4,"[30380, 8430, 1645, 98466, 71490, 1938]"
seen heard read past couple day left feeling impressed company,5,"[29412, 6755, 1373, 3347, 5743, 1938, 2163, 8430, 25408, 2883]"
climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,3,"[566, 318, 2788, 24898, 8430, 33630, 887, 5128, 1790, 78780, 11622, 5076, 3388, 8331, 2646, 3596, 13824, 43868, 1903, 18653, 1938]"
imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,1,"[318, 24281, 1972, 2324, 15398, 1053, 38683, 8599, 3403, 4423, 2733, 12756, 11928, 6220, 57323, 22281, 3345, 44387, 7106, 3729, 1877, 3685, 28520]"
sure would make feel content anything,1,"[19643, 1053, 1304, 2733, 2262, 4205]"
feeling need creative,1,"[1897, 20659, 1205, 11782]"
however want know something someone causing feel le splendid self step away,1,"[98936, 1390, 1440, 2555, 4423, 14718, 2733, 514, 70960, 659, 3094, 3201]"
feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed,3,"[57676, 2766, 47101, 4477, 29920, 46229, 2610, 8352, 2733, 2766, 57080, 54302, 23900, 56926]"
need need someone need protected feel safe small find season word,1,"[17483, 1205, 4423, 1205, 2682, 2733, 6220, 2678, 1505, 3280, 3492]"
plan share everyday life story traveling adventure inspiration handmade creation hope also feel inspired,1,"[10609, 4430, 18254, 2324, 3446, 21646, 18427, 20343, 52786, 9886, 3987, 1101, 2733, 14948]"
already christmas tree got two feeling festive sure spurring get started book,1,"[46584, 54302, 5021, 2751, 1403, 8430, 59937, 2771, 993, 21081, 636, 3940, 2363]"
ive worn little concealer day im feeling brave dont want pale perfect,1,"[535, 24634, 2697, 20245, 13412, 1938, 737, 8430, 34300, 15890, 1390, 28639, 4832]"
feel strongly passionate jerk decides poke make fun u,1,"[57676, 16917, 25429, 54524, 28727, 52651, 1304, 2523, 577]"
feeling discouraged already robbing peter pay paul get cow year cant afford get cow way,0,"[1897, 20659, 64770, 2736, 938, 68441, 95087, 2343, 68111, 636, 19923, 1060, 16869, 10150, 636, 19923, 1648]"
feeling listless need new thing something different,0,"[1897, 20659, 1160, 1752, 1205, 502, 3245, 2555, 2204]"
lost special mind worry still sane wanted feel felt reading book know many time said sam special guarantee many time used paragraph tell special,1,"[55437, 3361, 4059, 11196, 2103, 62200, 4934, 2733, 6612, 5403, 2363, 1440, 1690, 892, 1071, 10167, 3361, 15803, 1690, 892, 1511, 14646, 3371, 3361]"
let go sad feeling want accepted first home mine,2,"[1169, 733, 12703, 8430, 1390, 11928, 1176, 2162, 10705]"
boat trip denmark,1,"[38865, 8577, 3453, 4075]"
stopped feeling cold began feeling hot,3,"[90963, 8430, 9439, 6137, 8430, 4106]"
need feel dough make sure perfect,1,"[17483, 2733, 31452, 1304, 2771, 4832]"
found feeling little discouraged morning,0,"[15456, 8430, 2697, 64770, 6693]"
feel selfish spoiled,3,"[57676, 45743, 72524]"
stymied little bit wrote feeling unsure might go somewhere story unintended,4,"[267, 1631, 1142, 2697, 2766, 6267, 8430, 44003, 2643, 733, 15038, 3446, 73443]"
bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun fed kayle daddy gerling awake unkind u,1,"[21946, 2874, 2642, 1427, 16106, 258, 60943, 1910, 1820, 1427, 258, 1695, 2733, 258, 24415, 436, 455, 5049, 6930, 1156, 71450, 13219, 1062, 27970, 7160, 23114, 37947, 273, 57642, 17684, 2785, 35447, 653, 15674, 577]"
feel know basically like fake realm science fiction,0,"[57676, 1440, 13524, 1093, 12700, 22651, 8198, 17422]"
hate living dad roof give excuse asshole providing live think feel need make feel unwelcome possible ill leave,0,"[71, 349, 5496, 18233, 15485, 3041, 28391, 59963, 8405, 3974, 1781, 2733, 1205, 1304, 2733, 15375, 5836, 3284, 5986, 5387]"
keep feeling pleasantly surprised supportiveness also ease new situation,5,"[13397, 8430, 82374, 14792, 1862, 13071, 1101, 14553, 502, 6671]"
feeling anymore vigorous sexual activity coming yes misspelt cumming day part begin fall,1,"[1897, 20659, 14926, 71920, 7392, 5820, 5108, 10035, 3194, 79, 3903, 12454, 5424, 1938, 961, 3240, 4498]"
